2020-07-20-09-29: epoch: 1 |tot 7.933040 | hm 1.153632 | wh 3.492866 | id_ 3.044708 | reg 0.139003 | tracking 0.778707 | time 13.583333 | 
2020-07-20-09-42: epoch: 2 |tot 3.909629 | hm 0.988483 | wh 2.531994 | id_ 0.925069 | reg 0.138527 | tracking 0.815831 | time 13.566667 | 
2020-07-20-09-56: epoch: 3 |tot 3.215619 | hm 0.966147 | wh 2.441921 | id_ 0.617681 | reg 0.142494 | tracking 0.813847 | time 13.616667 | 
2020-07-20-10-09: epoch: 4 |tot 2.780555 | hm 0.947806 | wh 2.247797 | id_ 0.503674 | reg 0.143865 | tracking 0.787207 | time 13.616667 | 
2020-07-20-10-23: epoch: 5 |tot 2.257737 | hm 0.888031 | wh 1.952515 | id_ 0.414863 | reg 0.135093 | tracking 0.763891 | time 13.583333 | 
2020-07-20-10-37: epoch: 6 |tot 2.052041 | hm 0.896273 | wh 1.850218 | id_ 0.356716 | reg 0.140700 | tracking 0.823546 | time 13.566667 | 
2020-07-20-10-50: epoch: 7 |tot 1.728639 | hm 0.850774 | wh 1.706777 | id_ 0.318805 | reg 0.135081 | tracking 0.797401 | time 13.533333 | 
2020-07-20-11-04: epoch: 8 |tot 1.731393 | hm 0.912796 | wh 1.861440 | id_ 0.280044 | reg 0.139279 | tracking 0.800151 | time 13.600000 | 
2020-07-20-11-18: epoch: 9 |tot 1.480823 | hm 0.866765 | wh 1.632356 | id_ 0.280670 | reg 0.137468 | tracking 0.814520 | time 13.733333 | 
2020-07-20-11-31: epoch: 10 |tot 1.333062 | hm 0.848837 | wh 1.741251 | id_ 0.252101 | reg 0.140191 | tracking 0.815558 | time 13.733333 | 
2020-07-20-11-45: epoch: 11 |tot 1.196363 | hm 0.851103 | wh 1.565610 | id_ 0.239656 | reg 0.141317 | tracking 0.789577 | time 13.733333 | 
2020-07-20-11-59: epoch: 12 |tot 0.981178 | hm 0.794221 | wh 1.613967 | id_ 0.212697 | reg 0.137107 | tracking 0.791534 | time 13.733333 | 
2020-07-20-12-13: epoch: 13 |tot 0.856929 | hm 0.775567 | wh 1.576436 | id_ 0.204893 | reg 0.134186 | tracking 0.791109 | time 13.733333 | 
2020-07-20-12-26: epoch: 14 |tot 0.795790 | hm 0.772274 | wh 1.587376 | id_ 0.208121 | reg 0.136328 | tracking 0.772903 | time 13.733333 | 
2020-07-20-12-40: epoch: 15 |tot 0.682351 | hm 0.758775 | wh 1.424012 | id_ 0.202590 | reg 0.134337 | tracking 0.785363 | time 13.750000 | 
2020-07-20-12-54: epoch: 16 |tot 0.778953 | hm 0.815222 | wh 1.606729 | id_ 0.231763 | reg 0.136085 | tracking 0.838591 | time 13.766667 | 
2020-07-20-13-08: epoch: 17 |tot 0.525903 | hm 0.767130 | wh 1.449516 | id_ 0.158530 | reg 0.136837 | tracking 0.788359 | time 13.733333 | 
2020-07-20-13-21: epoch: 18 |tot 0.511736 | hm 0.789239 | wh 1.543119 | id_ 0.157525 | reg 0.134388 | tracking 0.800446 | time 13.750000 | 
2020-07-20-13-35: epoch: 19 |tot 0.520903 | hm 0.787354 | wh 1.730726 | id_ 0.175365 | reg 0.137741 | tracking 0.809987 | time 13.733333 | 
2020-07-20-13-49: epoch: 20 |tot 0.521012 | hm 0.832730 | wh 1.553225 | id_ 0.182282 | reg 0.135510 | tracking 0.765835 | time 13.716667 | 
2020-07-20-14-03: epoch: 21 |tot 0.379722 | hm 0.764251 | wh 1.392916 | id_ 0.172476 | reg 0.136276 | tracking 0.774620 | time 13.716667 | 
2020-07-20-14-16: epoch: 22 |tot 0.246157 | hm 0.739392 | wh 1.383718 | id_ 0.131541 | reg 0.135719 | tracking 0.828501 | time 13.733333 | 
2020-07-20-14-30: epoch: 23 |tot 0.243302 | hm 0.742095 | wh 1.426323 | id_ 0.140482 | reg 0.137670 | tracking 0.823365 | time 13.750000 | 
2020-07-20-14-44: epoch: 24 |tot 0.208648 | hm 0.717745 | wh 1.336251 | id_ 0.151995 | reg 0.135561 | tracking 0.791695 | time 13.750000 | 
2020-07-20-14-58: epoch: 25 |tot 0.135043 | hm 0.748085 | wh 1.415083 | id_ 0.110716 | reg 0.136902 | tracking 0.825277 | time 13.733333 | 
2020-07-20-15-11: epoch: 26 |tot 0.095993 | hm 0.707504 | wh 1.361485 | id_ 0.122502 | reg 0.135268 | tracking 0.817816 | time 13.733333 | 
2020-07-20-15-25: epoch: 27 |tot 0.077646 | hm 0.726534 | wh 1.489329 | id_ 0.110565 | reg 0.138181 | tracking 0.800349 | time 13.733333 | 
