2020-07-24-04-17: epoch: 1 |tot 11.451023 | hm 1.174608 | wh 8.380836 | id_ 4.295723 | reg 0.241668 | tracking 1.434937 | time 14.633333 | 
2020-07-24-04-31: epoch: 2 |tot 8.058992 | hm 0.861601 | wh 5.318694 | id_ 3.778240 | reg 0.207727 | tracking 1.272613 | time 13.800000 | 
2020-07-24-04-45: epoch: 3 |tot 6.408591 | hm 0.782271 | wh 4.438205 | id_ 3.272052 | reg 0.195219 | tracking 1.393015 | time 13.816667 | 
2020-07-24-04-59: epoch: 4 |tot 5.554777 | hm 0.764473 | wh 4.283136 | id_ 2.986575 | reg 0.190441 | tracking 1.307272 | time 13.816667 | 
2020-07-24-05-13: epoch: 5 |tot 4.295719 | hm 0.634662 | wh 3.314802 | id_ 2.661838 | reg 0.182291 | tracking 1.412363 | time 13.833333 | 
2020-07-24-05-27: epoch: 6 |tot 3.620758 | hm 0.589031 | wh 2.913208 | id_ 2.450405 | reg 0.178964 | tracking 1.306481 | time 13.950000 | 
2020-07-24-05-41: epoch: 7 |tot 3.067173 | hm 0.546391 | wh 2.706346 | id_ 2.238829 | reg 0.176594 | tracking 1.318863 | time 13.883333 | 
2020-07-24-05-55: epoch: 8 |tot 2.675808 | hm 0.539122 | wh 2.560380 | id_ 2.053150 | reg 0.173280 | tracking 1.366032 | time 14.000000 | 
2020-07-24-06-09: epoch: 9 |tot 2.304465 | hm 0.504071 | wh 2.461727 | id_ 1.890986 | reg 0.170517 | tracking 1.338503 | time 13.966667 | 
2020-07-24-06-23: epoch: 10 |tot 1.951243 | hm 0.465841 | wh 2.071602 | id_ 1.773293 | reg 0.166991 | tracking 1.282495 | time 13.966667 | 
2020-07-24-06-37: epoch: 11 |tot 1.803649 | hm 0.464941 | wh 2.118921 | id_ 1.697975 | reg 0.165675 | tracking 1.365331 | time 14.000000 | 
2020-07-24-06-51: epoch: 12 |tot 1.592905 | hm 0.457936 | wh 1.984493 | id_ 1.560376 | reg 0.163635 | tracking 1.285464 | time 14.033333 | 
2020-07-24-07-05: epoch: 13 |tot 1.462541 | hm 0.421329 | wh 2.002344 | id_ 1.546812 | reg 0.161609 | tracking 1.382955 | time 14.000000 | 
2020-07-24-07-19: epoch: 14 |tot 1.371292 | hm 0.452033 | wh 1.915119 | id_ 1.434480 | reg 0.162017 | tracking 1.328929 | time 13.883333 | 
2020-07-24-07-33: epoch: 15 |tot 1.178030 | hm 0.392692 | wh 1.761464 | id_ 1.355659 | reg 0.157308 | tracking 1.346067 | time 13.833333 | 
2020-07-24-07-46: epoch: 16 |tot 1.158883 | hm 0.400727 | wh 1.839465 | id_ 1.336802 | reg 0.157917 | tracking 1.398107 | time 13.833333 | 
2020-07-24-08-00: epoch: 17 |tot 1.053816 | hm 0.396636 | wh 1.697349 | id_ 1.237135 | reg 0.154073 | tracking 1.257325 | time 13.866667 | 
2020-07-24-08-14: epoch: 18 |tot 1.141094 | hm 0.465064 | wh 1.921402 | id_ 1.241504 | reg 0.155889 | tracking 1.376770 | time 13.866667 | 
2020-07-24-08-28: epoch: 19 |tot 1.052445 | hm 0.437027 | wh 1.863922 | id_ 1.189083 | reg 0.150705 | tracking 1.335172 | time 13.816667 | 
