2020-07-23-08-47: epoch: 1 |tot 11.197734 | hm 1.121659 | wh 8.127547 | id_ 4.123866 | reg 0.253601 | tracking 1.292639 | time 13.866667 | 
2020-07-23-09-01: epoch: 2 |tot 6.513919 | hm 0.644501 | wh 5.694420 | id_ 2.742559 | reg 0.208601 | tracking 1.008518 | time 13.800000 | 
2020-07-23-09-15: epoch: 3 |tot 5.082762 | hm 0.599648 | wh 4.924132 | id_ 2.190779 | reg 0.189992 | tracking 0.913897 | time 13.816667 | 
2020-07-23-09-28: epoch: 4 |tot 4.500514 | hm 0.655600 | wh 4.881351 | id_ 1.821444 | reg 0.187100 | tracking 0.899751 | time 13.800000 | 
2020-07-23-09-42: epoch: 5 |tot 3.526858 | hm 0.561372 | wh 4.401303 | id_ 1.520093 | reg 0.181373 | tracking 0.840874 | time 13.933333 | 
2020-07-23-09-56: epoch: 6 |tot 3.084706 | hm 0.548911 | wh 4.185643 | id_ 1.355845 | reg 0.185483 | tracking 0.855350 | time 13.833333 | 
2020-07-23-10-10: epoch: 7 |tot 2.687473 | hm 0.572579 | wh 3.708180 | id_ 1.206425 | reg 0.177080 | tracking 0.836518 | time 13.800000 | 
2020-07-23-10-24: epoch: 8 |tot 2.252999 | hm 0.503140 | wh 3.820218 | id_ 1.040291 | reg 0.175122 | tracking 0.827482 | time 13.783333 | 
2020-07-23-10-38: epoch: 9 |tot 1.932218 | hm 0.516774 | wh 3.471894 | id_ 0.862637 | reg 0.174689 | tracking 0.823660 | time 13.783333 | 
2020-07-23-10-51: epoch: 10 |tot 1.807561 | hm 0.503012 | wh 3.620392 | id_ 0.831332 | reg 0.174501 | tracking 0.842771 | time 13.800000 | 
2020-07-23-11-05: epoch: 11 |tot 1.868781 | hm 0.587229 | wh 3.572412 | id_ 0.845238 | reg 0.172704 | tracking 0.856358 | time 13.800000 | 
2020-07-23-11-19: epoch: 12 |tot 1.610580 | hm 0.545494 | wh 3.434327 | id_ 0.767931 | reg 0.169723 | tracking 0.852499 | time 13.800000 | 
2020-07-23-11-33: epoch: 13 |tot 1.341266 | hm 0.501270 | wh 3.221393 | id_ 0.662650 | reg 0.167879 | tracking 0.813627 | time 13.783333 | 
2020-07-23-11-47: epoch: 14 |tot 1.352590 | hm 0.528145 | wh 3.434028 | id_ 0.666495 | reg 0.163479 | tracking 0.842685 | time 13.800000 | 
2020-07-23-12-01: epoch: 15 |tot 1.115022 | hm 0.470843 | wh 3.032621 | id_ 0.619942 | reg 0.164661 | tracking 0.807033 | time 13.816667 | 
2020-07-23-12-14: epoch: 16 |tot 1.119168 | hm 0.482994 | wh 3.077084 | id_ 0.651820 | reg 0.163212 | tracking 0.822041 | time 13.700000 | 
2020-07-23-12-28: epoch: 17 |tot 1.091608 | hm 0.510405 | wh 3.216347 | id_ 0.593745 | reg 0.167593 | tracking 0.861245 | time 13.766667 | 
2020-07-23-12-42: epoch: 18 |tot 0.943262 | hm 0.479952 | wh 2.935709 | id_ 0.555668 | reg 0.166025 | tracking 0.830166 | time 13.683333 | 
2020-07-23-12-55: epoch: 19 |tot 1.057861 | hm 0.539856 | wh 3.317001 | id_ 0.589664 | reg 0.166776 | tracking 0.873620 | time 13.633333 | 
2020-07-23-13-09: epoch: 20 |tot 0.756080 | hm 0.434769 | wh 2.757891 | id_ 0.497470 | reg 0.162744 | tracking 0.802289 | time 13.633333 | 
2020-07-23-13-23: epoch: 21 |tot 0.846855 | hm 0.477261 | wh 2.874066 | id_ 0.558621 | reg 0.164753 | tracking 0.855562 | time 13.633333 | 
2020-07-23-13-36: epoch: 22 |tot 0.816132 | hm 0.489742 | wh 2.852662 | id_ 0.537483 | reg 0.164823 | tracking 0.836513 | time 13.616667 | 
2020-07-23-13-50: epoch: 23 |tot 0.573404 | hm 0.435758 | wh 2.559108 | id_ 0.387544 | reg 0.156709 | tracking 0.821636 | time 13.633333 | 
2020-07-23-14-04: epoch: 24 |tot 0.538275 | hm 0.446979 | wh 2.536262 | id_ 0.358280 | reg 0.157861 | tracking 0.822725 | time 13.616667 | 
2020-07-23-14-17: epoch: 25 |tot 0.619141 | hm 0.458490 | wh 2.686643 | id_ 0.438804 | reg 0.158223 | tracking 0.835738 | time 13.633333 | 
2020-07-23-14-31: epoch: 26 |tot 0.517955 | hm 0.423456 | wh 2.556016 | id_ 0.393120 | reg 0.157288 | tracking 0.833326 | time 13.616667 | 
2020-07-23-14-45: epoch: 27 |tot 0.651281 | hm 0.453198 | wh 2.633588 | id_ 0.506886 | reg 0.160577 | tracking 0.823427 | time 13.633333 | 
2020-07-23-14-58: epoch: 28 |tot 0.489590 | hm 0.426276 | wh 2.520860 | id_ 0.383586 | reg 0.158319 | tracking 0.806058 | time 13.616667 | 
2020-07-23-15-12: epoch: 29 |tot 0.365258 | hm 0.412324 | wh 2.461977 | id_ 0.284301 | reg 0.158482 | tracking 0.836643 | time 13.650000 | 
2020-07-23-15-26: epoch: 30 |tot 0.472249 | hm 0.432977 | wh 2.540269 | id_ 0.376777 | reg 0.159328 | tracking 0.825343 | time 13.633333 | 
2020-07-23-15-39: epoch: 31 |tot 0.442377 | hm 0.460555 | wh 2.459326 | id_ 0.340270 | reg 0.159767 | tracking 0.810790 | time 13.633333 | 
